7230
4 0  0  0.05 0 0 0 2000
4 0  0.015  0.05 0 0 0 2000
4 0  0.03  0.05 0 0 0 2000
4 0  0.045  0.05 0 0 0 2000
4 0  0.06  0.05 0 0 0 2000
4 0  0.075  0.05 0 0 0 2000
4 0.015  0  0.05 0 0 0 2000
4 0.015  0.015  0.05 0 0 0 2000
4 0.015  0.03  0.05 0 0 0 2000
4 0.015  0.045  0.05 0 0 0 2000
4 0.015  0.06  0.05 0 0 0 2000
4 0.015  0.075  0.05 0 0 0 2000
4 0.03  0  0.05 0 0 0 2000
4 0.03  0.015  0.05 0 0 0 2000
4 0.03  0.03  0.05 0 0 0 2000
4 0.03  0.045  0.05 0 0 0 2000
4 0.03  0.06  0.05 0 0 0 2000
4 0.03  0.075  0.05 0 0 0 2000
4 0.045  0  0.05 0 0 0 2000
4 0.045  0.015  0.05 0 0 0 2000
4 0.045  0.03  0.05 0 0 0 2000
4 0.045  0.045  0.05 0 0 0 2000
4 0.045  0.06  0.05 0 0 0 2000
4 0.045  0.075  0.05 0 0 0 2000
4 0.06  0  0.05 0 0 0 2000
4 0.06  0.015  0.05 0 0 0 2000
4 0.06  0.03  0.05 0 0 0 2000
4 0.06  0.045  0.05 0 0 0 2000
4 0.06  0.06  0.05 0 0 0 2000
4 0.06  0.075  0.05 0 0 0 2000
4 0.075  0  0.05 0 0 0 2000
4 0.075  0.015  0.05 0 0 0 2000
4 0.075  0.03  0.05 0 0 0 2000
4 0.075  0.045  0.05 0 0 0 2000
4 0.075  0.06  0.05 0 0 0 2000
4 0.075  0.075  0.05 0 0 0 2000
4 0.09  0  0.05 0 0 0 2000
4 0.09  0.015  0.05 0 0 0 2000
4 0.09  0.03  0.05 0 0 0 2000
4 0.09  0.045  0.05 0 0 0 2000
4 0.09  0.06  0.05 0 0 0 2000
4 0.09  0.075  0.05 0 0 0 2000
4 0.105  0  0.05 0 0 0 2000
4 0.105  0.015  0.05 0 0 0 2000
4 0.105  0.03  0.05 0 0 0 2000
4 0.105  0.045  0.05 0 0 0 2000
4 0.105  0.06  0.05 0 0 0 2000
4 0.105  0.075  0.05 0 0 0 2000
4 0.12  0  0.05 0 0 0 2000
4 0.12  0.015  0.05 0 0 0 2000
4 0.12  0.03  0.05 0 0 0 2000
4 0.12  0.045  0.05 0 0 0 2000
4 0.12  0.06  0.05 0 0 0 2000
4 0.12  0.075  0.05 0 0 0 2000
4 0.135  0  0.05 0 0 0 2000
4 0.135  0.015  0.05 0 0 0 2000
4 0.135  0.03  0.05 0 0 0 2000
4 0.135  0.045  0.05 0 0 0 2000
4 0.135  0.06  0.05 0 0 0 2000
4 0.135  0.075  0.05 0 0 0 2000
4 0.15  0  0.05 0 0 0 2000
4 0.15  0.015  0.05 0 0 0 2000
4 0.15  0.03  0.05 0 0 0 2000
4 0.15  0.045  0.05 0 0 0 2000
4 0.15  0.06  0.05 0 0 0 2000
4 0.15  0.075  0.05 0 0 0 2000
4 0.165  0  0.05 0 0 0 2000
4 0.165  0.015  0.05 0 0 0 2000
4 0.165  0.03  0.05 0 0 0 2000
4 0.165  0.045  0.05 0 0 0 2000
4 0.165  0.06  0.05 0 0 0 2000
4 0.165  0.075  0.05 0 0 0 2000
4 0.18  0  0.05 0 0 0 2000
4 0.18  0.015  0.05 0 0 0 2000
4 0.18  0.03  0.05 0 0 0 2000
4 0.18  0.045  0.05 0 0 0 2000
4 0.18  0.06  0.05 0 0 0 2000
4 0.18  0.075  0.05 0 0 0 2000
4 0.195  0  0.05 0 0 0 2000
4 0.195  0.015  0.05 0 0 0 2000
4 0.195  0.03  0.05 0 0 0 2000
4 0.195  0.045  0.05 0 0 0 2000
4 0.195  0.06  0.05 0 0 0 2000
4 0.195  0.075  0.05 0 0 0 2000
4 0.21  0  0.05 0 0 0 2000
4 0.21  0.015  0.05 0 0 0 2000
4 0.21  0.03  0.05 0 0 0 2000
4 0.21  0.045  0.05 0 0 0 2000
4 0.21  0.06  0.05 0 0 0 2000
4 0.21  0.075  0.05 0 0 0 2000
4 0.225  0  0.05 0 0 0 2000
4 0.225  0.015  0.05 0 0 0 2000
4 0.225  0.03  0.05 0 0 0 2000
4 0.225  0.045  0.05 0 0 0 2000
4 0.225  0.06  0.05 0 0 0 2000
4 0.225  0.075  0.05 0 0 0 2000
4 0.24  0  0.05 0 0 0 2000
4 0.24  0.015  0.05 0 0 0 2000
4 0.24  0.03  0.05 0 0 0 2000
4 0.24  0.045  0.05 0 0 0 2000
4 0.24  0.06  0.05 0 0 0 2000
4 0.24  0.075  0.05 0 0 0 2000
4 0.255  0  0.05 0 0 0 2000
4 0.255  0.015  0.05 0 0 0 2000
4 0.255  0.03  0.05 0 0 0 2000
4 0.255  0.045  0.05 0 0 0 2000
4 0.255  0.06  0.05 0 0 0 2000
4 0.255  0.075  0.05 0 0 0 2000
4 0.27  0  0.05 0 0 0 2000
4 0.27  0.015  0.05 0 0 0 2000
4 0.27  0.03  0.05 0 0 0 2000
4 0.27  0.045  0.05 0 0 0 2000
4 0.27  0.06  0.05 0 0 0 2000
4 0.27  0.075  0.05 0 0 0 2000
4 0.285  0  0.05 0 0 0 2000
4 0.285  0.015  0.05 0 0 0 2000
4 0.285  0.03  0.05 0 0 0 2000
4 0.285  0.045  0.05 0 0 0 2000
4 0.285  0.06  0.05 0 0 0 2000
4 0.285  0.075  0.05 0 0 0 2000
4 0.3  0  0.05 0 0 0 2000
4 0.3  0.015  0.05 0 0 0 2000
4 0.3  0.03  0.05 0 0 0 2000
4 0.3  0.045  0.05 0 0 0 2000
4 0.3  0.06  0.05 0 0 0 2000
4 0.3  0.075  0.05 0 0 0 2000
4 0.315  0  0.05 0 0 0 2000
4 0.315  0.015  0.05 0 0 0 2000
4 0.315  0.03  0.05 0 0 0 2000
4 0.315  0.045  0.05 0 0 0 2000
4 0.315  0.06  0.05 0 0 0 2000
4 0.315  0.075  0.05 0 0 0 2000
4 0.33  0  0.05 0 0 0 2000
4 0.33  0.015  0.05 0 0 0 2000
4 0.33  0.03  0.05 0 0 0 2000
4 0.33  0.045  0.05 0 0 0 2000
4 0.33  0.06  0.05 0 0 0 2000
4 0.33  0.075  0.05 0 0 0 2000
4 0.345  0  0.05 0 0 0 2000
4 0.345  0.015  0.05 0 0 0 2000
4 0.345  0.03  0.05 0 0 0 2000
4 0.345  0.045  0.05 0 0 0 2000
4 0.345  0.06  0.05 0 0 0 2000
4 0.345  0.075  0.05 0 0 0 2000
4 0.36  0  0.05 0 0 0 2000
4 0.36  0.015  0.05 0 0 0 2000
4 0.36  0.03  0.05 0 0 0 2000
